id_rs,rumah_sakit,tipe_rs,nama,ulasan,ulasan_casefolding,ulasan_tokenisasi,ulasan_normalisasi,ulasan_stopwords,ulasan_lemmatize,tokens,sentiment_score,sentiment,emotion_scores,emotion
3374123,RS Dr. Amino Gondohutomo,A,Sakbanita A23,Mantap Sukses selalu,mantap sukses selalu,"['mantap', 'sukses', 'selalu']","['mantap', 'sukses', 'selalu']","['mantap', 'sukses']","['mantap', 'sukses']","['mantap', 'sukses']",8,positif,"{'anger': 0, 'anticipation': 0, 'disgust': 0, 'fear': 0, 'joy': 0, 'sadness': 0, 'surprise': 0, 'trust': 0}",neutral
3374123,RS Dr. Amino Gondohutomo,A,Quinzell Harley,"bagus, sotonya enak.",bagus sotonya enak,"['bagus', 'sotonya', 'enak']","['bagus', 'sotonya', 'enak']","['bagus', 'sotonya', 'enak']","['bagus', 'soto', 'enak']","['bagus', 'soto', 'enak']",3,positif,"{'anger': 0, 'anticipation': 1, 'disgust': 0, 'fear': 0, 'joy': 1, 'sadness': 0, 'surprise': 1, 'trust': 1}",anticipation
3374123,RS Dr. Amino Gondohutomo,A,widya,rsjd amino👍🏻👍🏻👍🏻 …,rsjd amino,"['rsjd', 'amino']","['rsjd', 'amino']",[],[],[],0,netral,"{'anger': 0, 'anticipation': 0, 'disgust': 0, 'fear': 0, 'joy': 0, 'sadness': 0, 'surprise': 0, 'trust': 0}",neutral
3374123,RS Dr. Amino Gondohutomo,A,Bayu Enny,Sukses selalu,sukses selalu,"['sukses', 'selalu']","['sukses', 'selalu']",['sukses'],['sukses'],['sukses'],3,positif,"{'anger': 0, 'anticipation': 0, 'disgust': 0, 'fear': 0, 'joy': 0, 'sadness': 0, 'surprise': 0, 'trust': 0}",neutral
3374123,RS Dr. Amino Gondohutomo,A,Muhammad Ahsanul Hakim,Joss,joss,['joss'],['joss'],['joss'],['joss'],['joss'],0,netral,"{'anger': 0, 'anticipation': 0, 'disgust': 0, 'fear': 0, 'joy': 0, 'sadness': 0, 'surprise': 0, 'trust': 0}",neutral
3374123,RS Dr. Amino Gondohutomo,A,Erli Nur Arohmah,rsjd dr amino kerennn,rsjd dr amino kerennn,"['rsjd', 'dr', 'amino', 'kerennn']","['rsjd', 'dokter', 'amino', 'keren']",['keren'],['keren'],['keren'],0,netral,"{'anger': 0, 'anticipation': 0, 'disgust': 0, 'fear': 0, 'joy': 0, 'sadness': 0, 'surprise': 0, 'trust': 0}",neutral
3374123,RS Dr. Amino Gondohutomo,A,apang palah,Amino mantap,amino mantap,"['amino', 'mantap']","['amino', 'mantap']",['mantap'],['mantap'],['mantap'],5,positif,"{'anger': 0, 'anticipation': 0, 'disgust': 0, 'fear': 0, 'joy': 0, 'sadness': 0, 'surprise': 0, 'trust': 0}",neutral
3374123,RS Dr. Amino Gondohutomo,A,Frida Ainun Jannah,Pelayanan di amino terbaik 👍🏻 …,pelayanan di amino terbaik,"['pelayanan', 'di', 'amino', 'terbaik']","['pelayanan', 'di', 'amino', 'terbaik']","['pelayanan', 'terbaik']","['layan', 'baik']","['layan', 'baik']",2,positif,"{'anger': 0, 'anticipation': 0, 'disgust': 0, 'fear': 0, 'joy': 0, 'sadness': 0, 'surprise': 0, 'trust': 0}",neutral
3374123,RS Dr. Amino Gondohutomo,A,aisyahtiara _,Luar biasa,luar biasa,"['luar', 'biasa']","['luar', 'biasa']",[],[],[],0,netral,"{'anger': 0, 'anticipation': 0, 'disgust': 0, 'fear': 0, 'joy': 0, 'sadness': 0, 'surprise': 0, 'trust': 1}",trust
3374123,RS Dr. Amino Gondohutomo,A,Faradila Zahro Ananto,Wokee,wokee,['wokee'],['wokee'],['wokee'],['wokee'],['wokee'],0,netral,"{'anger': 0, 'anticipation': 0, 'disgust': 0, 'fear': 0, 'joy': 0, 'sadness': 0, 'surprise': 0, 'trust': 0}",neutral
3374123,RS Dr. Amino Gondohutomo,A,puspita ajeng wulandari,amino luar biasa,amino luar biasa,"['amino', 'luar', 'biasa']","['amino', 'luar', 'biasa']",[],[],[],0,netral,"{'anger': 0, 'anticipation': 0, 'disgust': 0, 'fear': 0, 'joy': 0, 'sadness': 0, 'surprise': 0, 'trust': 1}",trust
3374123,RS Dr. Amino Gondohutomo,A,Nur laily Fariha,Amino luar biasaa,amino luar biasaa,"['amino', 'luar', 'biasaa']","['amino', 'luar', 'biasa']",[],[],[],0,netral,"{'anger': 0, 'anticipation': 0, 'disgust': 0, 'fear': 0, 'joy': 0, 'sadness': 0, 'surprise': 0, 'trust': 0}",neutral
3374123,RS Dr. Amino Gondohutomo,A,Della Putri,luar biasa,luar biasa,"['luar', 'biasa']","['luar', 'biasa']",[],[],[],0,netral,"{'anger': 0, 'anticipation': 0, 'disgust': 0, 'fear': 0, 'joy': 0, 'sadness': 0, 'surprise': 0, 'trust': 1}",trust
3374123,RS Dr. Amino Gondohutomo,A,Sabila risma04,Amino hebat,amino hebat,"['amino', 'hebat']","['amino', 'hebat']",['hebat'],['hebat'],['hebat'],0,netral,"{'anger': 0, 'anticipation': 0, 'disgust': 0, 'fear': 0, 'joy': 0, 'sadness': 1, 'surprise': 0, 'trust': 0}",sadness
3374123,RS Dr. Amino Gondohutomo,A,Ratri Ardhiana,pelayanan cepat dan tempat luas,pelayanan cepat dan tempat luas,"['pelayanan', 'cepat', 'dan', 'tempat', 'luas']","['pelayanan', 'cepat', 'dan', 'tempat', 'luas']","['pelayanan', 'cepat', 'luas']","['layan', 'cepat', 'luas']","['layan', 'cepat', 'luas']",3,positif,"{'anger': 0, 'anticipation': 0, 'disgust': 0, 'fear': 0, 'joy': 0, 'sadness': 0, 'surprise': 0, 'trust': 0}",neutral
3374123,RS Dr. Amino Gondohutomo,A,Zenit Rohmaningrum,AMINO luar biasa!,amino luar biasa,"['amino', 'luar', 'biasa']","['amino', 'luar', 'biasa']",[],[],[],0,netral,"{'anger': 0, 'anticipation': 0, 'disgust': 0, 'fear': 0, 'joy': 0, 'sadness': 0, 'surprise': 0, 'trust': 1}",trust
3374123,RS Dr. Amino Gondohutomo,A,Safrina Faramadina,MANTAP,mantap,['mantap'],['mantap'],['mantap'],['mantap'],['mantap'],5,positif,"{'anger': 0, 'anticipation': 0, 'disgust': 0, 'fear': 0, 'joy': 0, 'sadness': 0, 'surprise': 0, 'trust': 0}",neutral
3374123,RS Dr. Amino Gondohutomo,A,Aberida Aldesta,amino jaya,amino jaya,"['amino', 'jaya']","['amino', 'jaya']",['jaya'],['jaya'],['jaya'],4,positif,"{'anger': 0, 'anticipation': 0, 'disgust': 0, 'fear': 0, 'joy': 0, 'sadness': 0, 'surprise': 0, 'trust': 0}",neutral
3374123,RS Dr. Amino Gondohutomo,A,Tasya Lintang,Amino luar bisa,amino luar bisa,"['amino', 'luar', 'bisa']","['amino', 'luar', 'bisa']",[],[],[],0,netral,"{'anger': 0, 'anticipation': 0, 'disgust': 0, 'fear': 0, 'joy': 0, 'sadness': 0, 'surprise': 0, 'trust': 0}",neutral
3374123,RS Dr. Amino Gondohutomo,A,ALifya Adila,Amino pelayanan the best,amino pelayanan the best,"['amino', 'pelayanan', 'the', 'best']","['amino', 'pelayanan', 'the', 'best']","['pelayanan', 'the', 'best']","['layan', 'the', 'best']","['layan', 'the', 'best']",0,netral,"{'anger': 0, 'anticipation': 0, 'disgust': 0, 'fear': 0, 'joy': 0, 'sadness': 0, 'surprise': 0, 'trust': 0}",neutral
3374123,RS Dr. Amino Gondohutomo,A,Dany Risky,Pelayanan baik dan cekatan,pelayanan baik dan cekatan,"['pelayanan', 'baik', 'dan', 'cekatan']","['pelayanan', 'baik', 'dan', 'cekatan']","['pelayanan', 'cekatan']","['layan', 'cekat']","['layan', 'cekat']",-2,negatif,"{'anger': 0, 'anticipation': 0, 'disgust': 0, 'fear': 0, 'joy': 0, 'sadness': 0, 'surprise': 0, 'trust': 1}",trust
3374123,RS Dr. Amino Gondohutomo,A,Aisah Suciati,luarrrrrr biasaaaaaa,luarrrrrr biasaaaaaa,"['luarrrrrr', 'biasaaaaaa']","['luarrrrrr', 'biasaaaaaa']","['luarrrrrr', 'biasaaaaaa']","['luarrrrrr', 'biasaaaaaa']","['luarrrrrr', 'biasaaaaaa']",0,netral,"{'anger': 0, 'anticipation': 0, 'disgust': 0, 'fear': 0, 'joy': 0, 'sadness': 0, 'surprise': 0, 'trust': 0}",neutral
3374123,RS Dr. Amino Gondohutomo,A,MEGA FATMAWATI,Amino luar biasa,amino luar biasa,"['amino', 'luar', 'biasa']","['amino', 'luar', 'biasa']",[],[],[],0,netral,"{'anger': 0, 'anticipation': 0, 'disgust': 0, 'fear': 0, 'joy': 0, 'sadness': 0, 'surprise': 0, 'trust': 1}",trust
3374123,RS Dr. Amino Gondohutomo,A,Feni Riskiani,Luar biasa,luar biasa,"['luar', 'biasa']","['luar', 'biasa']",[],[],[],0,netral,"{'anger': 0, 'anticipation': 0, 'disgust': 0, 'fear': 0, 'joy': 0, 'sadness': 0, 'surprise': 0, 'trust': 1}",trust
3374123,RS Dr. Amino Gondohutomo,A,Nanda Ibnu,pelayanan luar biasa,pelayanan luar biasa,"['pelayanan', 'luar', 'biasa']","['pelayanan', 'luar', 'biasa']",['pelayanan'],['layan'],['layan'],0,netral,"{'anger': 0, 'anticipation': 0, 'disgust': 0, 'fear': 0, 'joy': 0, 'sadness': 0, 'surprise': 0, 'trust': 1}",trust
3374123,RS Dr. Amino Gondohutomo,A,Nisa Ameliya,Amino luar biasa,amino luar biasa,"['amino', 'luar', 'biasa']","['amino', 'luar', 'biasa']",[],[],[],0,netral,"{'anger': 0, 'anticipation': 0, 'disgust': 0, 'fear': 0, 'joy': 0, 'sadness': 0, 'surprise': 0, 'trust': 1}",trust
3374123,RS Dr. Amino Gondohutomo,A,Fadillah Azzahra,Amino yang luar biasa,amino yang luar biasa,"['amino', 'yang', 'luar', 'biasa']","['amino', 'yang', 'luar', 'biasa']",[],[],[],0,netral,"{'anger': 0, 'anticipation': 0, 'disgust': 0, 'fear': 0, 'joy': 0, 'sadness': 0, 'surprise': 0, 'trust': 1}",trust
3374123,RS Dr. Amino Gondohutomo,A,Nadya Fitrianisa,Baik,baik,['baik'],['baik'],[],[],[],0,netral,"{'anger': 0, 'anticipation': 0, 'disgust': 0, 'fear': 0, 'joy': 0, 'sadness': 0, 'surprise': 0, 'trust': 1}",trust
3374123,RS Dr. Amino Gondohutomo,A,lena anggraini,Pelayanannya bagus 👍👍👍 …,pelayanannya bagus,"['pelayanannya', 'bagus']","['pelayanannya', 'bagus']","['pelayanannya', 'bagus']","['layan', 'bagus']","['layan', 'bagus']",2,positif,"{'anger': 0, 'anticipation': 1, 'disgust': 0, 'fear': 0, 'joy': 1, 'sadness': 0, 'surprise': 1, 'trust': 1}",anticipation
3374123,RS Dr. Amino Gondohutomo,A,Riska Novitasari,"Dokter mau tanya , untuk nama nama pasien yg memiliki sakit jiwa boleh diperlihatkan tidak , krna saya denger orgtua saya terakhir masuk RSJ Semarang tpi gatau RSJ nya disini atau bkn 🙏  krna udh berthun"" saya tdk ketemu hnya dengar infomasi saja😔 …",dokter mau tanya untuk nama nama pasien yg memiliki sakit jiwa boleh diperlihatkan tidak krna saya denger orgtua saya terakhir masuk rsj semarang tpi gatau rsj nya disini atau bkn krna udh berthun saya tdk ketemu hnya dengar infomasi saja,"['dokter', 'mau', 'tanya', 'untuk', 'nama', 'nama', 'pasien', 'yg', 'memiliki', 'sakit', 'jiwa', 'boleh', 'diperlihatkan', 'tidak', 'krna', 'saya', 'denger', 'orgtua', 'saya', 'terakhir', 'masuk', 'rsj', 'semarang', 'tpi', 'gatau', 'rsj', 'nya', 'disini', 'atau', 'bkn', 'krna', 'udh', 'berthun', 'saya', 'tdk', 'ketemu', 'hnya', 'dengar', 'infomasi', 'saja']","['dokter', 'mau', 'tanya', 'untuk', 'nama', 'nama', 'pasien', 'yang', 'memiliki', 'sakit', 'jiwa', 'boleh', 'diperlihatkan', 'tidak', 'karena', 'saya', 'dengar', 'orgtua', 'saya', 'terakhir', 'masuk', 'rumah sakit jiwa', 'semarang', 'tetapi', 'tak tau', 'rumah sakit jiwa', 'nya', 'di sini', 'atau', 'bukan', 'karena', 'sudah', 'berthun', 'saya', 'tidak', 'ketemu', 'hanya', 'dengar', 'infomasi', 'saja']","['nama', 'nama', 'memiliki', 'jiwa', 'dengar', 'orgtua', 'masuk', 'rumah sakit jiwa', 'tak tau', 'rumah sakit jiwa', 'di sini', 'berthun', 'ketemu', 'dengar', 'infomasi']","['nama', 'nama', 'milik', 'jiwa', 'dengar', 'orgtua', 'masuk', 'rumah', 'sakit', 'jiwa', 'tak', 'tau', 'rumah', 'sakit', 'jiwa', 'di', 'sini', 'berthun', 'ketemu', 'dengar', 'infomasi']","['nama', 'nama', 'milik', 'jiwa', 'dengar', 'orgtua', 'masuk', 'rumah', 'sakit', 'jiwa', 'tak', 'tau', 'rumah', 'sakit', 'jiwa', 'di', 'sini', 'berthun', 'ketemu', 'dengar', 'infomasi']",-16,negatif,"{'anger': 0, 'anticipation': 1, 'disgust': 0, 'fear': 0, 'joy': 0, 'sadness': 1, 'surprise': 0, 'trust': 1}",anticipation
3374123,RS Dr. Amino Gondohutomo,A,Tiwi Nur Hidayah,"Pelayanannya cepat, petugasnya ramah",pelayanannya cepat petugasnya ramah,"['pelayanannya', 'cepat', 'petugasnya', 'ramah']","['pelayanannya', 'cepat', 'petugasnya', 'ramah']","['pelayanannya', 'cepat', 'petugasnya', 'ramah']","['layan', 'cepat', 'tugas', 'ramah']","['layan', 'cepat', 'tugas', 'ramah']",1,netral,"{'anger': 0, 'anticipation': 0, 'disgust': 0, 'fear': 0, 'joy': 0, 'sadness': 0, 'surprise': 0, 'trust': 0}",neutral
3374123,RS Dr. Amino Gondohutomo,A,lambang antono,Pelayanan  dan kebersihan 👍👍👍 sukses selalu buat Pimpinan dan seluruh staf RSJD Amino Gondohutomo. …,pelayanan dan kebersihan sukses selalu buat pimpinan dan seluruh staf rsjd amino gondohutomo,"['pelayanan', 'dan', 'kebersihan', 'sukses', 'selalu', 'buat', 'pimpinan', 'dan', 'seluruh', 'staf', 'rsjd', 'amino', 'gondohutomo']","['pelayanan', 'dan', 'kebersihan', 'sukses', 'selalu', 'buat', 'pimpinan', 'dan', 'seluruh', 'staf', 'rsjd', 'amino', 'gondohutomo']","['pelayanan', 'kebersihan', 'sukses', 'pimpinan', 'staf', 'gondohutomo']","['layan', 'bersih', 'sukses', 'pimpin', 'staf', 'gondohutomo']","['layan', 'bersih', 'sukses', 'pimpin', 'staf', 'gondohutomo']",3,positif,"{'anger': 0, 'anticipation': 0, 'disgust': 0, 'fear': 0, 'joy': 0, 'sadness': 0, 'surprise': 0, 'trust': 0}",neutral
3374123,RS Dr. Amino Gondohutomo,A,Umi Najwa,"Pelayanan bagus, cepat",pelayanan bagus cepat,"['pelayanan', 'bagus', 'cepat']","['pelayanan', 'bagus', 'cepat']","['pelayanan', 'bagus', 'cepat']","['layan', 'bagus', 'cepat']","['layan', 'bagus', 'cepat']",2,positif,"{'anger': 0, 'anticipation': 1, 'disgust': 0, 'fear': 0, 'joy': 1, 'sadness': 0, 'surprise': 1, 'trust': 1}",anticipation
3374123,RS Dr. Amino Gondohutomo,A,guphita putri,Bermanfaat sekali berkonsultasi disini 🙏🏻🙏🏻 …,bermanfaat sekali berkonsultasi disini,"['bermanfaat', 'sekali', 'berkonsultasi', 'disini']","['bermanfaat', 'sekali', 'berkonsultasi', 'di sini']","['bermanfaat', 'berkonsultasi', 'di sini']","['manfaat', 'konsultasi', 'di', 'sini']","['manfaat', 'konsultasi', 'di', 'sini']",8,positif,"{'anger': 0, 'anticipation': 0, 'disgust': 0, 'fear': 0, 'joy': 0, 'sadness': 0, 'surprise': 0, 'trust': 1}",trust
3374123,RS Dr. Amino Gondohutomo,A,Indiyati Diah Mustika Sari,Bermanfaat sekali sesi konsultasi....Alhamdulillah saya waras 😊 …,bermanfaat sekali sesi konsultasi alhamdulillah saya waras,"['bermanfaat', 'sekali', 'sesi', 'konsultasi', 'alhamdulillah', 'saya', 'waras']","['bermanfaat', 'sekali', 'sesi', 'konsultasi', 'alhamdulillah', 'saya', 'waras']","['bermanfaat', 'sesi', 'konsultasi', 'alhamdulillah', 'waras']","['manfaat', 'sesi', 'konsultasi', 'alhamdulillah', 'waras']","['manfaat', 'sesi', 'konsultasi', 'alhamdulillah', 'waras']",12,positif,"{'anger': 0, 'anticipation': 0, 'disgust': 0, 'fear': 0, 'joy': 0, 'sadness': 0, 'surprise': 0, 'trust': 0}",neutral
3374123,RS Dr. Amino Gondohutomo,A,Maya Dwi Pratiwi,"Psikologinya baik, dan sangat membantu dalam menangani masalah",psikologinya baik dan sangat membantu dalam menangani masalah,"['psikologinya', 'baik', 'dan', 'sangat', 'membantu', 'dalam', 'menangani', 'masalah']","['psikologinya', 'baik', 'dan', 'sangat', 'membantu', 'dalam', 'menangani', 'masalah']","['psikologinya', 'membantu', 'menangani']","['psikologi', 'bantu', 'tangan']","['psikologi', 'bantu', 'tangan']",-4,negatif,"{'anger': 0, 'anticipation': 0, 'disgust': 0, 'fear': 1, 'joy': 1, 'sadness': 1, 'surprise': 1, 'trust': 2}",trust
3374123,RS Dr. Amino Gondohutomo,A,Sepia Hartiningsih _015,"Psikolog baik, ramah sukaaq",psikolog baik ramah sukaaq,"['psikolog', 'baik', 'ramah', 'sukaaq']","['psikolog', 'baik', 'ramah', 'sukaaq']","['psikolog', 'ramah', 'sukaaq']","['psikolog', 'ramah', 'sukaaq']","['psikolog', 'ramah', 'sukaaq']",2,positif,"{'anger': 0, 'anticipation': 0, 'disgust': 0, 'fear': 0, 'joy': 0, 'sadness': 0, 'surprise': 0, 'trust': 1}",trust
3374123,RS Dr. Amino Gondohutomo,A,Dazzling Divas_ Cantika,Sangat mrmbantu ketika berkonseling tentang psikis. Dokternya ramah dan mengerti apa yang kita rasakan.. memberikan win win solution agar kita bisa lebih semangat dalam mrnjalankan hari hari,sangat mrmbantu ketika berkonseling tentang psikis dokternya ramah dan mengerti apa yang kita rasakan memberikan win win solution agar kita bisa lebih semangat dalam mrnjalankan hari hari,"['sangat', 'mrmbantu', 'ketika', 'berkonseling', 'tentang', 'psikis', 'dokternya', 'ramah', 'dan', 'mengerti', 'apa', 'yang', 'kita', 'rasakan', 'memberikan', 'win', 'win', 'solution', 'agar', 'kita', 'bisa', 'lebih', 'semangat', 'dalam', 'mrnjalankan', 'hari', 'hari']","['sangat', 'mrmbantu', 'ketika', 'berkonseling', 'tentang', 'psikis', 'dokternya', 'ramah', 'dan', 'mengerti', 'apa', 'yang', 'kita', 'rasakan', 'memberikan', 'menang', 'menang', 'solution', 'agar', 'kita', 'bisa', 'lebih', 'semangat', 'dalam', 'mrnjalankan', 'hari', 'hari']","['mrmbantu', 'berkonseling', 'psikis', 'dokternya', 'ramah', 'mengerti', 'rasakan', 'menang', 'menang', 'solution', 'semangat', 'mrnjalankan']","['mrmbantu', 'konseling', 'psikis', 'dokter', 'ramah', 'erti', 'rasa', 'menang', 'menang', 'solution', 'semangat', 'mrnjalankan']","['mrmbantu', 'konseling', 'psikis', 'dokter', 'ramah', 'erti', 'rasa', 'menang', 'menang', 'solution', 'semangat', 'mrnjalankan']",-1,netral,"{'anger': 0, 'anticipation': 1, 'disgust': 0, 'fear': 0, 'joy': 2, 'sadness': 0, 'surprise': 1, 'trust': 1}",joy
3374123,RS Dr. Amino Gondohutomo,A,osi Febr,Makin ok,makin ok,"['makin', 'ok']","['makin', 'oke']",['oke'],['oke'],['oke'],2,positif,"{'anger': 0, 'anticipation': 0, 'disgust': 0, 'fear': 0, 'joy': 0, 'sadness': 0, 'surprise': 0, 'trust': 0}",neutral
3374123,RS Dr. Amino Gondohutomo,A,Aura Sita,"Semua pelayanannya sangat membantu, petugas juga ramahh",semua pelayanannya sangat membantu petugas juga ramahh,"['semua', 'pelayanannya', 'sangat', 'membantu', 'petugas', 'juga', 'ramahh']","['semua', 'pelayanannya', 'sangat', 'membantu', 'petugas', 'juga', 'ramahh']","['pelayanannya', 'membantu', 'petugas', 'ramahh']","['layan', 'bantu', 'tugas', 'ramahh']","['layan', 'bantu', 'tugas', 'ramahh']",-2,negatif,"{'anger': 0, 'anticipation': 0, 'disgust': 0, 'fear': 0, 'joy': 1, 'sadness': 0, 'surprise': 1, 'trust': 2}",trust
3374123,RS Dr. Amino Gondohutomo,A,Anida Hamid,Pelayanannya bagus..,pelayanannya bagus,"['pelayanannya', 'bagus']","['pelayanannya', 'bagus']","['pelayanannya', 'bagus']","['layan', 'bagus']","['layan', 'bagus']",2,positif,"{'anger': 0, 'anticipation': 1, 'disgust': 0, 'fear': 0, 'joy': 1, 'sadness': 0, 'surprise': 1, 'trust': 1}",anticipation
3374123,RS Dr. Amino Gondohutomo,A,Santy Widi Pratiwi,Mantullll pelayanannnya,mantullll pelayanannnya,"['mantullll', 'pelayanannnya']","['mantullll', 'pelayanannnya']","['mantullll', 'pelayanannnya']","['mantullll', 'pelayanannnya']","['mantullll', 'pelayanannnya']",0,netral,"{'anger': 0, 'anticipation': 0, 'disgust': 0, 'fear': 0, 'joy': 0, 'sadness': 0, 'surprise': 0, 'trust': 0}",neutral
3374123,RS Dr. Amino Gondohutomo,A,Slamet Eko Prastiyo,"Pelayanan prima, staff ramah",pelayanan prima staff ramah,"['pelayanan', 'prima', 'staff', 'ramah']","['pelayanan', 'prima', 'staf', 'ramah']","['pelayanan', 'prima', 'staf', 'ramah']","['layan', 'prima', 'staf', 'ramah']","['layan', 'prima', 'staf', 'ramah']",6,positif,"{'anger': 0, 'anticipation': 0, 'disgust': 0, 'fear': 0, 'joy': 0, 'sadness': 0, 'surprise': 0, 'trust': 0}",neutral
3374123,RS Dr. Amino Gondohutomo,A,Zahrotun Nafisa,Pelayanan sangat baik dan seluruh staff ramah,pelayanan sangat baik dan seluruh staff ramah,"['pelayanan', 'sangat', 'baik', 'dan', 'seluruh', 'staff', 'ramah']","['pelayanan', 'sangat', 'baik', 'dan', 'seluruh', 'staf', 'ramah']","['pelayanan', 'staf', 'ramah']","['layan', 'staf', 'ramah']","['layan', 'staf', 'ramah']",2,positif,"{'anger': 0, 'anticipation': 0, 'disgust': 0, 'fear': 0, 'joy': 1, 'sadness': 0, 'surprise': 1, 'trust': 1}",joy
